,coef
"AGE_[41.0, 57.0)",41.80540052
"AGE_[57.0, 67.0)",42.76222585
"AGE_[67.0, 78.0)",43.47092175
"AGE_[78.0, 199.0)",44.68632255
"PULSE_[68.5, 77.5)",-1.34058555
"PULSE_[77.5, 85.5)",-0.88617138
"PULSE_[85.5, 98.0)",-0.12399055
"PULSE_[98.0, 282.0)",2.22580541
"RESPIRATION_[16.0, 18.0)",-0.74435399
"RESPIRATION_[18.0, 144.0)",0.13708135
"BPDIASTOLIC_[62.5, 70.5)",-1.24634425
"BPDIASTOLIC_[70.5, 76.5)",-2.01550236
"BPDIASTOLIC_[76.5, 85.5)",-1.92975591
"BPDIASTOLIC_[85.5, 5898.0)",-1.26354146
"BPSYSTOLIC_[113.5, 126.0)",-1.13325235
"BPSYSTOLIC_[126.0, 137.0)",-1.78668436
"BPSYSTOLIC_[137.0, 153.0)",-2.4323772
"BPSYSTOLIC_[153.0, 1046.0)",-2.61287847
