,coef
"AGE_[41.0, 57.0)",2.43254111
"AGE_[57.0, 67.0)",3.03412051
"AGE_[67.0, 78.0)",3.45204075
"AGE_[78.0, 206.0)",4.14807043
"PULSE_[68.5, 77.5)",-0.01847369
"PULSE_[77.5, 85.5)",0.27668301
"PULSE_[85.5, 98.0)",0.70194539
"PULSE_[98.0, 345.0)",1.60164771
"BPDIASTOLIC_[62.5, 70.5)",-0.41098017
"BPDIASTOLIC_[70.5, 76.5)",-0.67404499
"BPDIASTOLIC_[76.5, 85.5)",-0.63549306
"BPDIASTOLIC_[85.5, 278.0)",-0.29605044
"BPSYSTOLIC_[113.5, 126.0)",-0.49955446
"BPSYSTOLIC_[126.0, 137.0)",-0.85389919
"BPSYSTOLIC_[137.0, 153.0)",-1.20533511
"BPSYSTOLIC_[153.0, 375.0)",-1.35842829
