,coef
"AGE_[41.0, 57.0)",2.31712703
"AGE_[57.0, 67.0)",2.78708564
"AGE_[67.0, 78.0)",3.11767159
"AGE_[78.0, 206.0)",3.72190217
"PULSE_[68.5, 77.5)",-0.00451894
"PULSE_[77.5, 85.5)",0.25448059
"PULSE_[85.5, 98.0)",0.67893711
"PULSE_[98.0, 345.0)",1.48307033
"RESPIRATION_[16.0, 18.0)",-0.97951182
"RESPIRATION_[18.0, 146.0)",-0.52543873
"SAO2_[97.0, 98.5)",-0.87485108
"SAO2_[98.5, 200.0)",-0.43557185
"BPDIASTOLIC_[62.5, 70.5)",-0.35783222
"BPDIASTOLIC_[70.5, 76.5)",-0.60694785
"BPDIASTOLIC_[76.5, 85.5)",-0.53220997
"BPDIASTOLIC_[85.5, 278.0)",-0.25235325
"BPSYSTOLIC_[113.5, 126.0)",-0.44887846
"BPSYSTOLIC_[126.0, 137.0)",-0.80951188
"BPSYSTOLIC_[137.0, 153.0)",-1.16257314
"BPSYSTOLIC_[153.0, 375.0)",-1.31769646
GENDER_M_1.0,0.1718006
Renal_1_1.0,0.81009603
