,coef
"AGE_[41.0, 57.0)",2.7203416
"AGE_[57.0, 67.0)",3.30636296
"AGE_[67.0, 78.0)",3.40471168
"AGE_[78.0, 206.0)",4.29462811
"PULSE_[68.5, 77.5)",0.03127325
"PULSE_[77.5, 85.5)",0.11937609
"PULSE_[85.5, 98.0)",0.44400777
"PULSE_[98.0, 345.0)",1.47355868
"RESPIRATION_[16.0, 18.0)",-0.70812108
"RESPIRATION_[18.0, 146.0)",-0.47425307
"BPDIASTOLIC_[62.5, 70.5)",-0.10870318
"BPDIASTOLIC_[70.5, 76.5)",-0.44678003
"BPDIASTOLIC_[76.5, 85.5)",-0.48923693
"BPDIASTOLIC_[85.5, 278.0)",-0.06942932
"BPSYSTOLIC_[113.5, 126.0)",-0.55439369
"BPSYSTOLIC_[126.0, 137.0)",-0.983693
"BPSYSTOLIC_[137.0, 153.0)",-1.36626155
"BPSYSTOLIC_[153.0, 375.0)",-1.44662755
