,coef
"AGE_[41.0, 57.0)",2.65003314
"AGE_[57.0, 67.0)",3.1824449
"AGE_[67.0, 78.0)",3.26599425
"AGE_[78.0, 206.0)",4.09932851
"PULSE_[68.5, 77.5)",0.0206156
"PULSE_[77.5, 85.5)",0.09049523
"PULSE_[85.5, 98.0)",0.43004378
"PULSE_[98.0, 345.0)",1.39002295
"RESPIRATION_[16.0, 18.0)",-0.68031451
"RESPIRATION_[18.0, 146.0)",-0.48738664
"SAO2_[97.0, 98.5)",-0.73427545
"SAO2_[98.5, 200.0)",-0.57493746
"BPDIASTOLIC_[62.5, 70.5)",-0.09254409
"BPDIASTOLIC_[70.5, 76.5)",-0.41018242
"BPDIASTOLIC_[76.5, 85.5)",-0.45312383
"BPDIASTOLIC_[85.5, 278.0)",-0.0411736
"BPSYSTOLIC_[113.5, 126.0)",-0.55328594
"BPSYSTOLIC_[126.0, 137.0)",-0.96281851
"BPSYSTOLIC_[137.0, 153.0)",-1.34289513
"BPSYSTOLIC_[153.0, 375.0)",-1.40811402
