,coef
"AGE_[41.0, 57.0)",2.69968515
"AGE_[57.0, 67.0)",3.28578443
"AGE_[67.0, 78.0)",3.38837177
"AGE_[78.0, 199.0)",4.28445745
"PULSE_[68.5, 77.5)",0.02967066
"PULSE_[77.5, 85.5)",0.1276134
"PULSE_[85.5, 98.0)",0.45580588
"PULSE_[98.0, 282.0)",1.48801267
"BPDIASTOLIC_[62.5, 70.5)",-0.11073262
"BPDIASTOLIC_[70.5, 76.5)",-0.42222972
"BPDIASTOLIC_[76.5, 85.5)",-0.46988015
"BPDIASTOLIC_[85.5, 5898.0)",-0.05176411
"BPSYSTOLIC_[113.5, 126.0)",-0.56998096
"BPSYSTOLIC_[126.0, 137.0)",-0.9891733
"BPSYSTOLIC_[137.0, 153.0)",-1.37364111
"BPSYSTOLIC_[153.0, 1046.0)",-1.45285543
