,coef
"AGE_[41.0, 57.0)",2.5968232
"AGE_[57.0, 67.0)",3.07336553
"AGE_[67.0, 78.0)",3.10276107
"AGE_[78.0, 199.0)",3.91870794
"PULSE_[68.5, 77.5)",-0.0023604544
"PULSE_[77.5, 85.5)",0.0908655506
"PULSE_[85.5, 98.0)",0.427506999
"PULSE_[98.0, 282.0)",1.3780995
"RESPIRATION_[16.0, 18.0)",-0.684747545
"RESPIRATION_[18.0, 144.0)",-0.502507739
"SAO2_[97.0, 98.5)",-0.709549111
"SAO2_[98.5, 200.0)",-0.565577949
"BPDIASTOLIC_[62.5, 70.5)",-0.0731503736
"BPDIASTOLIC_[70.5, 76.5)",-0.377423869
"BPDIASTOLIC_[76.5, 85.5)",-0.385128195
"BPDIASTOLIC_[85.5, 5898.0)",0.00225362784
"BPSYSTOLIC_[113.5, 126.0)",-0.54937543
"BPSYSTOLIC_[126.0, 137.0)",-0.961893954
"BPSYSTOLIC_[137.0, 153.0)",-1.349338
"BPSYSTOLIC_[153.0, 1046.0)",-1.44515967
GENDER_M_1.0,0.358144541
Renal_1_1.0,0.610793197
