,coef
"AGE_[41.0, 57.0)",44.75737043
"AGE_[57.0, 67.0)",45.79313336
"AGE_[67.0, 78.0)",46.89910708
"AGE_[78.0, 206.0)",48.22254787
"PULSE_[68.5, 77.5)",-1.47807132
"PULSE_[77.5, 85.5)",-0.64625966
"PULSE_[85.5, 98.0)",0.22776712
"PULSE_[98.0, 345.0)",2.20109523
"BPDIASTOLIC_[62.5, 70.5)",-0.96135544
"BPDIASTOLIC_[70.5, 76.5)",-1.5347706
"BPDIASTOLIC_[76.5, 85.5)",-1.44262461
"BPDIASTOLIC_[85.5, 278.0)",-0.77882308
"BPSYSTOLIC_[113.5, 126.0)",-1.18656009
"BPSYSTOLIC_[126.0, 137.0)",-1.91752773
"BPSYSTOLIC_[137.0, 153.0)",-2.58294039
"BPSYSTOLIC_[153.0, 375.0)",-2.89492791
