,coef
"AGE_[41.0, 57.0)",34.26471028
"AGE_[57.0, 67.0)",35.04014246
"AGE_[67.0, 78.0)",35.76129392
"AGE_[78.0, 206.0)",36.7281117
"PULSE_[68.5, 77.5)",-1.55883311
"PULSE_[77.5, 85.5)",-1.08662093
"PULSE_[85.5, 98.0)",-0.32553337
"PULSE_[98.0, 345.0)",1.8375905
"RESPIRATION_[16.0, 18.0)",-1.04650651
"RESPIRATION_[18.0, 146.0)",-0.17035064
"SAO2_[97.0, 98.5)",-1.91325588
"SAO2_[98.5, 200.0)",-0.98938121
"BPDIASTOLIC_[62.5, 70.5)",-1.31519027
"BPDIASTOLIC_[70.5, 76.5)",-2.16640887
"BPDIASTOLIC_[76.5, 85.5)",-2.07698111
"BPDIASTOLIC_[85.5, 278.0)",-1.44840883
"BPSYSTOLIC_[113.5, 126.0)",-1.03066404
"BPSYSTOLIC_[126.0, 137.0)",-1.61976112
"BPSYSTOLIC_[137.0, 153.0)",-2.17988528
"BPSYSTOLIC_[153.0, 375.0)",-2.28520275
