,coef
"AGE_[41.0, 57.0)",0.04665483
"AGE_[57.0, 67.0)",0.33425873
"AGE_[67.0, 78.0)",0.32557815
"AGE_[78.0, 199.0)",0.77300102
"PULSE_[68.5, 77.5)",-0.19106854
"PULSE_[77.5, 85.5)",-0.15842123
"PULSE_[85.5, 98.0)",0.04010059
"PULSE_[98.0, 282.0)",0.51302523
"RESPIRATION_[16.0, 18.0)",-0.461184
"RESPIRATION_[18.0, 144.0)",-0.40043068
"SAO2_[97.0, 98.5)",-0.47472416
"SAO2_[98.5, 200.0)",-0.35786341
"BPDIASTOLIC_[62.5, 70.5)",-0.13903599
"BPDIASTOLIC_[70.5, 76.5)",-0.33212533
"BPDIASTOLIC_[76.5, 85.5)",-0.38271834
"BPDIASTOLIC_[85.5, 5898.0)",-0.17637489
"BPSYSTOLIC_[113.5, 126.0)",-0.24444022
"BPSYSTOLIC_[126.0, 137.0)",-0.42324008
"BPSYSTOLIC_[137.0, 153.0)",-0.60790073
"BPSYSTOLIC_[153.0, 1046.0)",-0.57676918
GENDER_M_1.0,0.24253453
