,coef
"AGE_[41.0, 57.0)",0.06876204
"AGE_[57.0, 67.0)",0.40049915
"AGE_[67.0, 78.0)",0.37645767
"AGE_[78.0, 199.0)",0.84216287
"PULSE_[68.5, 77.5)",-0.17832713
"PULSE_[77.5, 85.5)",-0.14974554
"PULSE_[85.5, 98.0)",0.05647435
"PULSE_[98.0, 282.0)",0.56541605
"RESPIRATION_[16.0, 18.0)",-0.44854449
"RESPIRATION_[18.0, 144.0)",-0.37403442
"SAO2_[97.0, 98.5)",-0.48060772
"SAO2_[98.5, 200.0)",-0.38509679
"BPDIASTOLIC_[62.5, 70.5)",-0.13154099
"BPDIASTOLIC_[70.5, 76.5)",-0.33677814
"BPDIASTOLIC_[76.5, 85.5)",-0.39179607
"BPDIASTOLIC_[85.5, 5898.0)",-0.16624397
"BPSYSTOLIC_[113.5, 126.0)",-0.24027315
"BPSYSTOLIC_[126.0, 137.0)",-0.42292229
"BPSYSTOLIC_[137.0, 153.0)",-0.61621968
"BPSYSTOLIC_[153.0, 1046.0)",-0.58900873
