,coef
"AGE_[41.0, 57.0)",2.39573649
"AGE_[57.0, 67.0)",2.9447932
"AGE_[67.0, 78.0)",3.33010754
"AGE_[78.0, 199.0)",3.97013067
"PULSE_[68.5, 77.5)",0.00941345
"PULSE_[77.5, 85.5)",0.25577262
"PULSE_[85.5, 98.0)",0.68070467
"PULSE_[98.0, 282.0)",1.49005594
"RESPIRATION_[16.0, 18.0)",-0.9752632
"RESPIRATION_[18.0, 144.0)",-0.51357604
"SAO2_[97.0, 98.5)",-0.89113955
"SAO2_[98.5, 200.0)",-0.41380545
"BPDIASTOLIC_[62.5, 70.5)",-0.39474908
"BPDIASTOLIC_[70.5, 76.5)",-0.67803119
"BPDIASTOLIC_[76.5, 85.5)",-0.60863807
"BPDIASTOLIC_[85.5, 5898.0)",-0.30085574
"BPSYSTOLIC_[113.5, 126.0)",-0.46743424
"BPSYSTOLIC_[126.0, 137.0)",-0.83368052
"BPSYSTOLIC_[137.0, 153.0)",-1.16150288
"BPSYSTOLIC_[153.0, 1046.0)",-1.30263664
